A	A	1.3
A	B	1.8
A	C	1.7
A	S	1.5
A	E	1.5
A	T	1.5
A	D	1.5
A	H	1.1
A	U	1.1
A	N	1.1
A	E	1
A	I	1
A	M	1.1
A	K	1.1
A	Y	1.1
A	;	1.2
A	Q	1.9
A	P	1.7
A	R	1.6
A	D	1.5
A	L	1.2
A	V	1.5
A	W	1.8
A	X	1.9
A	J	1.2
A	Z	1.9
A	0	1.1
A	1	2.2
A	2	2.2
A	3	2
A	4	1.7
A	5	1.6
A	6	1.3
A	7	1.1
A	8	1.1
A	9	1.1
A	,	1.2
A	.	1
A	/	1
A	[	1.2
A	]	1.1
A	O	1.3
A	'	1.2
A	-	1.2
A	=	1.2
A	 	1.3
B	A	1.6
B	B	1.3
B	C	1.7
B	S	1.6
B	E	1.7
B	T	1.9
B	D	1.8
B	H	1.2
B	U	1.1
B	N	1.2
B	E	1.2
B	I	1.1
B	M	1.1
B	K	1.1
B	Y	1.1
B	;	1.1
B	Q	1.8
B	P	1.9
B	R	1.7
B	D	1.9
B	L	1.2
B	V	1.8
B	W	1.8
B	X	1.7
B	J	1.3
B	Z	1.6
B	0	1.2
B	1	2.1
B	2	2.2
B	3	2
B	4	2.2
B	5	2.2
B	6	1.4
B	7	1.2
B	8	1.2
B	9	1.1
B	,	1.3
B	.	1.1
B	/	1.1
B	[	1.2
B	]	1.1
B	O	1.2
B	'	1.1
B	-	1.2
B	=	1.4
B	 	1.2
C	A	1.6
C	B	1.6
C	C	1.3
C	S	1.7
C	E	1.8
C	T	1.7
C	D	1.7
C	H	1.1
C	U	1.1
C	N	1.1
C	E	1
C	I	1
C	M	1.1
C	K	1
C	Y	1.1
C	;	1.1
C	Q	1.8
C	P	1.9
C	R	1.8
C	D	1.9
C	L	1.1
C	V	1.5
C	W	1.5
C	X	1.6
C	J	1.2
C	Z	1.4
C	0	1.2
C	1	2.1
C	2	2.2
C	3	2
C	4	2.1
C	5	2.1
C	6	1.4
C	7	1.1
C	8	1.2
C	9	1.1
C	,	1.2
C	.	1.1
C	/	1.1
C	[	1.2
C	]	1.1
C	O	1.2
C	'	1.1
C	-	1.1
C	=	1.1
C	 	1.2
S	A	1.4
S	B	1.7
S	C	1.9
S	S	1.3
S	E	1.6
S	T	1.5
S	D	1.5
S	H	1.1
S	U	1
S	N	1.1
S	E	1.1
S	I	1.1
S	M	1.1
S	K	1.1
S	Y	1.1
S	;	1.1
S	Q	1.6
S	P	1.7
S	R	1.4
S	D	1.7
S	L	1.1
S	V	1.6
S	W	1.6
S	X	1.7
S	J	1.2
S	Z	1.5
S	0	1.2
S	1	1.8
S	2	1.9
S	3	1.9
S	4	1.9
S	5	2
S	6	1.2
S	7	1.2
S	8	1.1
S	9	1.2
S	,	1.2
S	.	1
S	/	1.1
S	[	1.2
S	]	1.1
S	O	1.2
S	'	1.2
S	-	1.2
S	=	1.1
S	 	1.3
F	A	1.5
F	B	1.8
F	C	1.9
F	S	1.8
F	E	1.3
F	T	1.5
F	D	1.6
F	H	1.1
F	U	1.1
F	N	1
F	E	1
F	I	1.1
F	M	1.1
F	K	1.1
F	Y	1
F	;	1.2
F	Q	1.4
F	P	1.3
F	R	1.7
F	D	1.6
F	L	1.1
F	V	1.7
F	W	1.4
F	X	2
F	J	1.2
F	Z	1.8
F	0	1.2
F	1	1.7
F	2	1.8
F	3	1.8
F	4	1.7
F	5	1.7
F	6	1.3
F	7	1.2
F	8	1.1
F	9	1.2
F	,	1.2
F	.	1.1
F	/	1.1
F	[	1.2
F	]	1.1
F	O	1.2
F	'	1.1
F	-	1.2
F	=	1.2
F	 	1.5
T	A	1.3
T	B	1.8
T	C	1.8
T	S	1.5
T	E	1.4
T	T	1.3
T	D	1.8
T	H	1.1
T	U	1.2
T	N	1.1
T	E	1.1
T	I	1.1
T	M	1.2
T	K	1.1
T	Y	1.1
T	;	1.1
T	Q	1.5
T	P	1.7
T	R	1.5
T	D	1.7
T	L	1.2
T	V	1.8
T	W	1.4
T	X	1.7
T	J	1.2
T	Z	1.6
T	0	1.2
T	1	1.7
T	2	1.7
T	3	1.8
T	4	1.9
T	5	1.9
T	6	1.3
T	7	1.2
T	8	1.2
T	9	1.1
T	,	1.2
T	.	1.1
T	/	1.2
T	[	1.2
T	]	1.1
T	O	1.2
T	'	1
T	-	1.2
T	=	1.1
T	 	1.3
D	A	1.4
D	B	1.8
D	C	1.8
D	S	1.5
D	E	1.4
D	T	1.6
D	D	1.3
D	H	1.2
D	U	1.1
D	N	1.1
D	E	1.1
D	I	1.1
D	M	1.1
D	K	1.1
D	Y	1.1
D	;	1.1
D	Q	1.4
D	P	1.8
D	R	1.5
D	D	1.7
D	L	1.1
D	V	1.8
D	W	1.5
D	X	1.7
D	J	1.1
D	Z	1.6
D	0	1.2
D	1	1.6
D	2	1.8
D	3	1.8
D	4	2
D	5	1.9
D	6	1.3
D	7	1.2
D	8	1.2
D	9	1.2
D	,	1.2
D	.	1.1
D	/	1.1
D	[	1.2
D	]	1.1
D	O	1.2
D	'	1.1
D	-	1.2
D	=	1.2
D	 	1.4
H	A	1.2
H	B	1.2
H	C	1.2
H	S	1.1
H	E	1.1
H	T	1.2
H	D	1.5
H	H	1.3
H	U	1.3
H	N	1.6
H	E	1.5
H	I	1.4
H	M	1.8
H	K	1.6
H	Y	1.4
H	;	1.4
H	Q	1.2
H	P	1.1
H	R	1.1
H	D	1.1
H	L	1.5
H	V	1.2
H	W	1.1
H	X	1.2
H	J	1.5
H	Z	1.2
H	0	1.5
H	1	1.3
H	2	1.1
H	3	1.2
H	4	1.2
H	5	1.2
H	6	1.7
H	7	1.7
H	8	1.4
H	9	1.5
H	,	1.8
H	.	1.8
H	/	1.9
H	[	1.6
H	]	1.8
H	O	1.6
H	'	1.7
H	-	1.7
H	=	1.8
H	 	1.3
U	A	1.2
U	B	1.2
U	C	1.2
U	S	1.1
U	E	1.1
U	T	1.1
U	D	1.2
U	H	1.7
U	U	1.3
U	N	1.5
U	E	1.6
U	I	1.6
U	M	1.7
U	K	1.5
U	Y	1.4
U	;	1.5
U	Q	1.2
U	P	1.1
U	R	1.1
U	D	1.1
U	L	1.4
U	V	1.2
U	W	1.1
U	X	1.2
U	J	1.6
U	Z	1.3
U	0	1.7
U	1	1.4
U	2	1.1
U	3	1.1
U	4	1.2
