LU  A	B	C	S	E	T	D	H	U	N	E	I	M	K	Y	;	Q	P	R	D	L	V	W	X	J	Z	0	1	2	3	4	5	6	7	8	9	,	.	/	[	]	O	'	-	=	SP
P	1.5	1.9	2.1	1.7	1.4	1.7	1.7	1.1	1.1	1.1	1.2	1.1	1.2	1.1	1.2	1.2	1.5	1.3	1.7	1.7	1.1	1.9	1.5	2	1.2	2	1.2	1.6	1.7	1.6	1.8	1.7	1.2	1.1	1.1	1.1	1.2	1.1	1.1	1.2	1.1	1.1	1.1	1.3	1.2	1.4
R	1.6	1.7	1.8	1.5	1.5	1.5	1.5	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.7	1.6	1.3	1.6	1.1	1.6	1.7	1.8	1.1	1.8	1.2	2.1	2	1.9	1.8	1.9	1.2	1.2	1.1	1.1	1.2	1.1	1.1	1.2	1.1	1.2	1.1	1.3	1.2	1.4
G	1.5	1.9	2	1.7	1.4	1.7	1.7	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.7	1.5	1.3	1.2	2	1.5	2.1	1.2	1.9	1.2	1.6	1.7	1.7	1.8	1.8	1.5	1.2	1.2	1.1	1.3	1.1	1.1	1.3	1.1	1.2	1.1	1.3	1.2	1.3
L	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.6	1.4	1.6	1.7	1.6	1.8	1.7	1.4	1.3	1.1	1.1	1.2	1.3	1.3	1.2	1.2	1.2	1.5	1.3	1.4	1.3	1	1.2	1.2	1.2	1.8	1.5	1.5	1.4	2	1.8	1.7	1.4	1.7	1.6	1.7	1.5	1.6	1.3
V	1.5	1.8	1.6	1.6	1.6	1.7	1.8	1.1	1.1	1.1	1.1	1.2	1.1	1.2	1.2	1.3	1.7	1.9	1.5	1.9	1.4	1.3	1.5	1.5	1.3	1.4	1.2	1.9	1.9	1.9	2.1	2	1.2	1.1	1.2	1.1	1.2	1.1	1.1	1.1	1.1	1.1	1.1	1.2	1.1	1.2
W	1.8	1.9	2.1	1.9	1.5	1.6	1.6	1.1	1.1	1.1	1.1	1.1	1.2	1.1	1.1	1.2	1.6	1.5	1.8	1.5	1.2	1.9	1.3	2	1.2	2	1.4	1.8	1.8	1.7	1.7	1.8	1.3	1.2	1.1	1.1	1.2	1.1	1.1	1.2	1.1	1.2	1.1	1.3	1.2	1.1
X	1.7	1.5	1.5	1.5	1.8	1.7	1.5	1.1	1.1	1	1.1	1	1.1	1.1	1.1	1.1	2	1.7	1.7	1.8	1.1	1.6	1.9	1.3	1.2	1.7	1.1	2.3	2.2	2.1	2.1	2.2	1.3	1.2	1.1	1.1	1.2	1.1	1.1	1.2	1.2	1.2	1.1	1.2	1.2	1.3
J	1.2	1.1	1.1	1.1	1.1	1.1	1.1	1.6	1.4	1.8	1.7	1.7	1.9	1.7	1.5	1.4	1.2	1.2	1.1	1.3	1.5	1.3	1.3	1.5	1.3	1.3	1.5	1.3	1.2	1.1	1.2	1.2	1.6	1.5	1.1	1.3	1.9	1.9	1.8	1.6	1.9	1.7	1.7	1.6	1.8	1.3
Z	1.8	1.5	1.6	1.7	1.8	1.7	1.7	1	1.1	1	1.1	1.1	1	1.1	1.2	1.1	2.1	1.8	1.9	1.7	1.2	1.5	2.1	1.5	1.4	1.3	1.2	2.2	2.4	2.1	2	2	1.3	1.2	1.1	1	1.2	1	1.1	1.2	1	1.2	1.1	1.2	1.1	1.3
0	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.7	1.9	1.9	2.1	2	1.9	1.8	1.8	1.7	1.2	1.1	1.2	1.3	1.6	1.1	1.2	1.3	1.7	1.4	1.4	1.4	1.4	1.2	1.2	1.2	1.6	1.6	1.6	1.7	2.4	2.2	2.2	1.8	2	2	2.1	1.7	1.7	1
1	2.2	2.2	2.3	2.2	2.1	2	1.9	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	2.1	1.8	2.4	1.6	1.3	2.2	2.1	2.3	1.3	2.4	1.2	1.3	1.5	1.7	1.5	1.5	1.2	1.1	1.1	1.1	1.2	1	1.1	1.2	1.1	1.2	1.1	1.2	1.1	1.2
2	2	2.2	2.2	2.1	1.8	1.9	1.8	1.1	1.1	1.1	1.1	1	1.1	1.1	1.1	1.1	1.9	1.7	2	1.7	1.2	2	1.9	2.2	1.3	2.3	1.2	1.6	1.4	1.6	1.6	1.5	1.2	1.1	1	1.1	1.3	1.1	1	1.2	1.1	1.2	1.1	1.3	1.1	1.3
3	1.7	2	2.1	1.9	1.8	1.9	1.8	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.2	1.6	1.7	1.8	1.6	1.2	1.9	1.7	2.1	1.2	2.1	1.2	1.5	1.6	1.3	1.4	1.5	1.3	1.1	1.1	1.1	1.2	1	1.1	1.2	1.1	1.2	1.1	1.3	1.1	1.3
4	1.6	2.1	2.2	2.1	1.9	1.9	1.9	1	1.1	1.1	1.1	1.1	1	1.1	1.1	1.2	1.5	1.8	1.8	1.8	1.1	1.9	1.6	2.1	1.1	2.1	1.1	1.4	1.4	1.5	1.3	1.8	1.2	1.2	1.1	1.1	1.2	1.1	1.1	1.2	1.1	1.2	1.1	1.3	1.1	1.4
5	1.7	2	2.1	1.9	1.8	1.9	1.8	1.1	1	1.1	1.1	1	1.1	1.1	1.1	1.1	1.5	1.8	1.7	1.7	1.2	2.1	1.6	2	1.2	2	1.2	1.3	1.4	1.4	1.7	1.3	1.3	1.2	1.1	1.1	1.3	1.2	1.1	1.2	1.1	1.2	1.1	1.2	1.1	1.4
6	1.3	1.3	1.1	1.2	1.1	1.2	1.4	1.8	1.7	1.9	2	1.9	2.1	2	1.7	1.7	1.2	1.2	1.2	1.3	1.7	1.2	1.2	1.2	1.6	1.4	1.4	1.2	1.2	1.2	1.3	1.5	1.3	1.4	1.4	1.4	2.2	2.1	2.2	1.8	2.1	2	1.9	1.5	1.8	1.4
7	1.2	1.2	1.1	1.1	1.1	1.1	1.2	1.8	1.7	1.8	1.9	1.9	2	1.9	1.7	1.7	1.1	1.1	1.2	1.1	1.6	1.2	1.2	1.2	1.6	1.2	1.4	1.2	1.2	1.1	1.1	1.3	1.7	1.3	1.8	1.1	2.1	2.2	2.1	1.9	1.9	2	2	1.6	1.8	1.3
8	1.2	1.2	1.1	1.1	1.1	1.1	1.2	1.6	1.6	1.7	1.8	1.9	1.9	1.8	1.9	1.6	1.2	1.1	1.1	1.2	1.5	1.1	1.2	1.2	1.5	1.2	1.5	1.1	1.1	1.1	1.2	1.2	1.6	1.5	1.3	1.4	2.1	2	2.1	1.8	2.1	2	2	1.7	2	1.3
9	1.2	1.1	1.1	1.1	1.1	1.2	1.2	1.8	1.8	1.7	2	1.9	2	1.9	1.8	1.7	1.2	1.1	1.2	1.2	1.6	1.1	1.2	1.2	1.7	1.3	1.4	1.2	1.1	1.2	1.3	1.3	1.7	1.5	1.5	1.3	2.2	2.2	2.1	2	2.1	2.2	2.2	1.8	2	1.4
,	1.2	1.2	1.2	1.1	1.2	1.1	1.2	1.9	1.9	1.8	1.6	1.7	1.6	1.7	1.9	2	1.2	1.1	1.2	1.2	1.9	1.2	1.2	1.3	2.1	1.3	2	1.3	1.2	1.2	1.2	1.3	2.3	2.2	2.1	2.2	1.3	1.6	1.8	2.1	2.1	2	2	2.3	2.2	1.3
.	1.1	1.1	1.2	1.1	1.1	1.1	1.1	1	1.9	1.8	1.7	1.8	1.6	1.8	2	1.9	1.2	1.2	1.1	1.2	1.9	1.1	1.2	1.2	2	1.3	2.1	1.3	1.1	1.2	1.2	1.3	2.3	2.2	2.2	2.1	1.6	1.4	1.7	2	2.1	1.9	1.9	2.2	2.2	1.3
/	1.2	1.2	1.2	1.2	1.1	1.2	1.2	2	2	1.8	1.9	2	1.7	1.9	2.3	2.1	1.2	1.2	1.1	1.2	1.9	1.2	1.3	1.2	2	1.3	2.3	1.2	1.2	1.2	1.1	1.1	2.3	2.3	2.2	2.1	1.9	1.9	1.4	2	2	1	1.8	2.3	2.2	1.3
[	1.2	1.2	1.2	1.1	1.1	1.1	1.2	1.8	1.9	1.8	2.2	2.2	2	1.9	2.1	1.8	1.2	1.2	1.2	1.2	1.6	1.2	1.3	1.2	1.8	1.3	2	1.2	1.2	1.2	1.2	1.3	2.1	2	2.1	2.2	2.5	2.2	2	1.4	1.6	1.9	1.8	1.8	1.7	1.3
]	1.2	1.2	1.2	1.3	1.2	1.3	1.2	2.1	2.1	2.1	2.3	2.3	2	2.1	2.2	2	1.2	1.2	1.1	1.2	1.9	1.2	1.2	1.2	2.1	1.3	2.3	1.3	1.2	1.2	1.2	1.4	2.4	2.2	2.3	2.5	2.5	2.4	2.1	1.9	1.4	2	1.9	2	1.8	1.4
O	1.2	1.2	1.1	1.1	1.2	1.1	1.2	1.7	1.8	1.7	1.8	2	1.9	1.8	2.1	1.8	1.2	1.1	1.1	1.2	1.7	1.2	1.2	1.2	1.9	1.3	2	1.2	1.2	1.1	1.1	1.4	2.1	2.1	2.1	2.3	2	2	1.8	1.8	2	1.4	1.7	2	2	1.4
'	1.2	1.2	1.2	1.3	1.2	1.2	1.2	1.8	1.9	1.8	2	2.1	1.8	1.8	2.1	2	1.1	1.2	1.2	1.2	1.9	1.2	1.2	1.2	2	1.4	2.2	1.2	1.2	1.2	1.2	1.3	2.3	2.1	2.2	2.4	2.1	2	1.8	1.8	1.7	1.9	1.4	2	1.9	1.3
-	1.2	1.2	1.3	1.2	1.2	1.2	1.2	1.9	2.1	1.9	2.3	2.4	2.1	2	2	1.8	1.2	1.2	1.2	1.2	1.7	1.2	1.3	1.2	1.8	1.2	1.8	1.2	1.2	1.2	1.1	1.3	1	1.8	2.1	2.2	2.5	2.5	2.2	1.8	2	2	2.2	1.4	1.6	1.3
=	1.2	1.2	1.2	1.2	1.1	1.2	1.3	2.1	2.2	2	2.4	2.4	2.1	2.1	2.1	1.9	1.2	1.2	1.1	1.2	1.8	1.2	1.2	1.2	1.9	1.3	1.9	1.3	1.2	1.2	1.1	1.4	2.1	2	2.2	2.2	2.6	2.5	2.3	1.7	1.8	2	2	1.8	1.3	1.5
SP	1.4	1.4	1.5	1.4	1.4	1.4	1.3	1.3	1.4	1.4	1.3	1.3	1.4	1.3	1.4	1.4	1.5	1.4	1.5	1.5	1.5	1.5	1.5	1.4	1.6	1.5	1.4	1.7	1.6	1.4	1.1	1.6	1.6	1.6	1.5	1.5	1.4	1.5	1.5	1.5	1.4	1.5	1.5	1.6	1.6	1.3
